filename,width,height,class,xmin,ymin,xmax,ymax
image (1).png,2476,3484,stamp,1168,2193,1455,2519
image (1).png,2476,3484,signature,1710,2311,2005,2514
image (10).png,2472,3480,signature,1058,2544,1591,2919
image (10).png,2472,3480,stamp,1986,980,2245,1356
image (100).png,2468,3484,signature,231,2367,629,2620
image (100).png,2468,3484,stamp,756,2446,1045,3018
image (1000).png,2468,3480,signature,1767,2376,2265,2661
image (1000).png,2468,3480,stamp,1319,2751,1898,3283
image (1001).png,2468,3480,signature,1899,2303,2212,2661
image (1001).png,2468,3480,stamp,966,2443,1478,3031
image (1002).png,2468,3480,signature,1731,2280,2149,2611
image (1002).png,2468,3480,stamp,1018,2359,1498,2986
image (1003).png,2468,3480,signature,1682,2544,1905,2773
image (1003).png,2468,3480,stamp,1087,2516,1583,3182
image (1004).png,2480,3480,signature,1874,2600,2145,2829
image (1004).png,2480,3480,stamp,1574,2953,2149,3390
image (1005).png,2476,3484,signature,1700,2513,2347,2777
image (1005).png,2476,3484,stamp,804,2614,1366,3074
image (1006).png,2464,3480,signature,1799,2392,2155,2583
image (1006).png,2464,3480,stamp,724,2460,1298,2852
image (1007).png,2472,3480,signature,1825,2398,2100,2628
image (1007).png,2472,3480,stamp,791,2454,1379,2942
image (1008).png,2480,3476,signature,1929,2350,2294,2597
image (1008).png,2480,3476,stamp,1645,2809,2192,3291
image (1009).png,2476,3472,signature,1902,2398,2065,2650
image (1009).png,2476,3472,stamp,867,2392,1419,2991
image (101).png,2472,3484,signature,288,2524,931,2782
image (101).png,2472,3484,stamp,947,2676,1219,3231
image (1010).png,2476,3476,signature,1922,2535,2218,2748
image (1010).png,2476,3476,stamp,1535,2865,2094,3392
image (1011).png,2472,3480,signature,1884,2387,2109,2645
image (1011).png,2472,3480,stamp,799,2510,1377,2942
image (1012).png,2476,3472,signature,1818,2655,2187,2924
image (1012).png,2476,3472,stamp,1040,2711,1599,3265
image (1013).png,2472,3480,signature,1844,2460,2067,2729
image (1013).png,2472,3480,stamp,666,2633,1225,3188
image (1014).png,2472,3476,signature,1768,2255,2201,2591
image (1014).png,2472,3476,stamp,1067,2378,1583,3061
image (1015).png,2480,3476,signature,1952,2496,2180,2804
